date,BDI,BCI,BPI,BSI,BHSI
2001-05-12,1320,1782,1320,1056,858
2001-05-13,1329,1782,1329,1063,864
2001-05-14,1351,1772,1351,1081,878
2001-05-15,1368,1776,1368,1094,889
2001-05-18,1376,1776,1376,1101,894
2001-05-19,1388,1770,1388,1110,902
2001-05-20,1396,1760,1396,1117,907
2001-05-21,1403,1748,1403,1122,912
2001-05-22,1404,1735,1404,1123,913
2001-05-25,1406,1735,1406,1125,914
2001-05-26,1405,1712,1405,1124,913
2001-05-27,1400,1708,1400,1120,910
2001-05-28,1393,1703,1393,1114,905
2001-05-29,1384,1695,1384,1107,900
2001-06-01,1378,1695,1378,1102,896
2001-06-02,1368,1693,1368,1094,889
2001-06-03,1354,1689,1354,1083,880
2001-06-04,1340,1672,1340,1072,871
2001-06-05,1329,1651,1329,1063,864
2001-06-08,1319,1651,1319,1055,857
2001-06-09,1311,1625,1311,1049,852
2001-06-10,1296,1619,1296,1037,842
2001-06-11,1286,1613,1286,1029,836
2001-06-12,1280,1608,1280,1024,832
2001-06-15,1276,1608,1276,1021,829
2001-06-16,1277,1602,1277,1022,830
2001-06-17,1293,1611,1293,1034,840
2001-06-18,1317,1653,1317,1054,856
2001-06-19,1345,1703,1345,1076,874
2001-06-22,1365,1703,1365,1092,887
2001-06-23,1392,1807,1392,1114,905
2001-06-24,1419,1855,1419,1135,922
2001-06-25,1438,1898,1438,1150,935
2001-06-26,1454,1935,1454,1163,945
2001-06-29,1466,1935,1466,1173,953
2001-06-30,1481,1992,1481,1185,963
2001-07-01,1491,2028,1491,1193,969
2001-07-02,1501,2055,1501,1201,976
2001-07-03,1511,2072,1511,1209,982
2001-07-06,1521,2072,1521,1217,989
2001-07-07,1531,2106,1531,1225,995
2001-07-08,1547,2118,1547,1238,1006
2001-07-09,1561,2140,1561,1249,1015
2001-07-10,1578,2154,1578,1262,1026
2001-07-13,1588,2154,1588,1270,1032
2001-07-14,1602,2186,1602,1282,1041
2001-07-15,1618,2196,1618,1294,1052
2001-07-16,1634,2208,1634,1307,1062
2001-07-17,1645,2224,1645,1316,1069
2001-07-20,1649,2224,1649,1319,1072
2001-07-21,1645,2237,1645,1316,1069
2001-07-22,1640,2241,1640,1312,1066
2001-07-23,1633,2247,1633,1306,1061
2001-07-24,1630,2251,1630,1304,1060
2001-07-27,1628,2251,1628,1302,1058
2001-07-28,1624,2248,1624,1299,1056
2001-07-29,1620,2240,1620,1296,1053
2001-07-30,1617,2231,1617,1294,1051
2001-07-31,1618,2221,1618,1294,1052
2001-08-03,1623,2221,1623,1298,1055
2001-08-04,1627,2207,1627,1302,1058
2001-08-05,1638,2211,1638,1310,1065
2001-08-06,1651,2235,1651,1321,1073
2001-08-07,1660,2258,1660,1328,1079
2001-08-10,1669,2258,1669,1335,1085
2001-08-11,1676,2293,1676,1341,1089
2001-08-12,1679,2313,1679,1343,1091
2001-08-13,1682,2329,1682,1346,1093
2001-08-14,1684,2345,1684,1347,1095
2001-08-17,1686,2345,1686,1349,1096
2001-08-18,1684,2369,1684,1347,1095
2001-08-19,1681,2369,1681,1345,1093
2001-08-20,1679,2354,1679,1343,1091
2001-08-21,1676,2342,1676,1341,1089
2001-08-24,1674,2342,1674,1339,1088
2001-08-25,1670,2313,1670,1336,1086
2001-08-26,1661,2304,1661,1329,1080
2001-08-27,1656,2281,1656,1325,1076
2001-09-01,1647,2281,1647,1318,1071
2001-09-02,1641,2258,1641,1313,1067
2001-09-03,1635,2251,1635,1308,1063
2001-09-04,1628,2241,1628,1302,1058
2001-09-08,1622,2241,1622,1298,1054
2001-09-09,1615,2218,1615,1292,1050
2001-09-10,1609,2201,1609,1287,1046
2001-09-11,1609,2188,1609,1287,1046
2001-09-14,1607,2188,1607,1286,1045
2001-09-15,1609,2177,1609,1287,1046
2001-09-16,1611,2171,1611,1289,1047
2001-09-17,1614,2171,1614,1291,1049
2001-09-18,1616,2170,1616,1293,1050
2001-09-21,1615,2170,1615,1292,1050
2001-09-22,1612,2160,1612,1290,1048
2001-09-23,1610,2151,1610,1288,1046
2001-09-24,1609,2142,1609,1287,1046
2001-09-25,1607,2134,1607,1286,1045
2001-09-28,1606,2134,1606,1285,1044
2001-09-29,1598,2112,1598,1278,1039
2001-09-30,1589,2089,1589,1271,1033
2001-10-01,1582,2068,1582,1266,1028
2001-10-02,1576,2050,1576,1261,1024
2001-10-06,1569,2050,1569,1255,1020
2001-10-07,1566,2068,1566,1253,1018
2001-10-08,1562,2014,1562,1250,1015
2001-10-09,1562,2007,1562,1250,1015
2001-10-12,1561,2007,1561,1249,1015
2001-10-13,1559,2002,1559,1247,1013
2001-10-14,1559,1995,1559,1247,1013
2001-10-15,1562,1992,1562,1250,1015
2001-10-16,1564,1988,1564,1251,1017
2001-10-19,1566,1988,1566,1253,1018
2001-10-20,1569,1986,1569,1255,1020
2001-10-21,1570,1988,1570,1256,1020
2001-10-22,1577,1990,1577,1262,1025
2001-10-23,1586,2005,1586,1269,1031
2001-10-26,1592,2005,1592,1274,1035
2001-10-27,1599,2045,1599,1279,1039
2001-10-28,1612,2065,1612,1290,1048
2001-10-29,1620,2103,1620,1296,1053
2001-10-30,1624,2131,1624,1299,1056
2001-11-02,1626,2131,1626,1301,1057
2001-11-03,1625,2152,1625,1300,1056
2001-11-04,1621,2155,1621,1297,1054
2001-11-05,1618,2155,1618,1294,1052
2001-11-06,1616,2154,1616,1293,1050
2001-11-09,1613,2154,1613,1290,1048
2001-11-10,1610,2143,1610,1288,1046
2001-11-11,1607,2133,1607,1286,1045
2001-11-12,1603,2125,1603,1282,1042
2001-11-13,1601,2124,1601,1281,1041
2001-11-16,1600,2124,1600,1280,1040
2001-11-17,1601,2119,1601,1281,1041
2001-11-18,1604,2118,1604,1283,1043
2001-11-19,1609,2122,1609,1287,1046
2001-11-20,1616,2129,1616,1293,1050
2001-11-23,1621,2129,1621,1297,1054
2001-11-24,1626,2142,1626,1301,1057
2001-11-25,1628,2143,1628,1302,1058
2001-11-26,1629,2145,1629,1303,1059
2001-11-27,1628,2148,1628,1302,1058
2001-11-30,1629,2148,1629,1303,1059
2001-12-01,1629,2153,1629,1303,1059
2001-12-02,1628,2157,1628,1302,1058
2001-12-03,1628,2160,1628,1302,1058
2001-12-04,1634,2168,1634,1307,1062
2001-12-07,1642,2168,1642,1314,1067
2001-12-08,1645,2207,1645,1316,1069
2001-12-09,1646,2221,1646,1317,1070
2001-12-10,1648,2228,1648,1318,1071
2001-12-11,1650,2239,1650,1320,1072
2001-12-14,1651,2239,1651,1321,1073
2001-12-15,1647,2255,1647,1318,1071
2001-12-16,1642,2257,1642,1314,1067
2001-12-17,1641,2253,1641,1313,1067
2001-12-18,1640,2252,1640,1312,1066
2001-12-21,1637,2252,1637,1310,1064
2001-12-22,1634,2246,1634,1307,1062
2001-12-23,1632,2239,1632,1306,1061
2001-12-24,1631,2235,1631,1305,1060
2001-12-25,1629,2230,1629,1303,1059
2001-12-28,1628,2230,1628,1302,1058
2001-12-29,1627,2215,1627,1302,1058
2001-12-30,1629,2205,1629,1303,1059
2001-12-31,1633,2200,1633,1306,1061
2002-01-01,1638,2198,1638,1310,1065
2002-01-05,1641,2198,1641,1313,1067
2002-01-06,1645,2197,1645,1316,1069
2002-01-07,1652,2201,1652,1322,1074
2002-01-08,1661,2216,1661,1329,1080
2002-01-11,1666,2216,1666,1333,1083
2002-01-12,1671,2232,1671,1337,1086
2002-01-13,1676,2239,1676,1341,1089
2002-01-14,1689,2249,1689,1351,1098
2002-01-15,1696,2286,1696,1357,1102
2002-01-18,1701,2286,1701,1361,1106
2002-01-19,1705,2309,1705,1364,1108
2002-01-20,1708,2311,1708,1366,1110
2002-01-21,1711,2311,1711,1369,1112
2002-01-22,1714,2313,1714,1371,1114
2002-01-25,1719,2313,1719,1375,1117
2002-01-26,1725,2323,1725,1380,1121
2002-01-27,1732,2334,1732,1386,1126
2002-01-28,1737,2349,1737,1390,1129
2002-01-29,1738,2364,1738,1390,1130
2002-02-01,1740,2364,1740,1392,1131
2002-02-02,1739,2385,1739,1391,1130
2002-02-03,1738,2393,1738,1390,1130
2002-02-04,1737,2403,1737,1390,1129
2002-02-05,1739,2415,1739,1391,1130
2002-02-08,1735,2415,1735,1388,1128
2002-02-09,1729,2426,1729,1383,1124
2002-02-10,1726,2419,1726,1381,1122
2002-02-11,1721,2418,1721,1377,1119
2002-02-12,1720,2417,1720,1376,1118
2002-02-15,1719,2417,1719,1375,1117
2002-02-16,1719,2414,1719,1375,1117
2002-02-17,1718,2419,1718,1374,1117
2002-02-18,1718,2424,1718,1374,1117
2002-02-19,1721,2429,1721,1377,1119
2002-02-22,1724,2429,1724,1379,1121
2002-02-23,1727,2443,1727,1382,1123
2002-02-24,1732,2449,1732,1386,1126
2002-02-25,1736,2460,1736,1389,1128
2002-02-26,1740,2470,1740,1392,1131
2002-03-01,1744,2470,1744,1395,1134
2002-03-02,1748,2477,1748,1398,1136
2002-03-03,1751,2480,1751,1401,1138
2002-03-04,1754,2486,1754,1403,1140
2002-03-05,1756,2493,1756,1405,1141
2002-03-08,1758,2493,1758,1406,1143
2002-03-09,1759,2510,1759,1407,1143
2002-03-10,1759,2518,1759,1407,1143
2002-03-11,1761,2521,1761,1409,1145
2002-03-12,1762,2537,1762,1410,1145
2002-03-15,1761,2537,1761,1409,1145
2002-03-16,1759,2551,1759,1407,1143
2002-03-17,1756,2556,1756,1405,1141
2002-03-18,1752,2557,1752,1402,1139
2002-03-19,1747,2553,1747,1398,1136
2002-03-22,1742,2553,1742,1394,1132
2002-03-23,1732,2545,1732,1386,1126
2002-03-24,1723,2535,1723,1378,1120
2002-03-25,1716,2521,1716,1373,1115
2002-03-26,1711,2514,1711,1369,1112
2002-03-29,1708,2514,1708,1366,1110
2002-03-30,1701,2512,1701,1361,1106
2002-03-31,1696,2504,1696,1357,1102
2002-04-01,1693,2498,1693,1354,1100
2002-04-02,1691,2494,1691,1353,1099
2002-04-05,1688,2494,1688,1350,1097
2002-04-06,1683,2490,1683,1346,1094
2002-04-07,1678,2482,1678,1342,1091
2002-04-08,1672,2472,1672,1338,1087
2002-04-09,1664,2464,1664,1331,1082
2002-04-12,1657,2464,1657,1326,1077
2002-04-13,1647,2438,1647,1318,1071
2002-04-14,1639,2415,1639,1311,1065
2002-04-15,1633,2399,1633,1306,1061
2002-04-16,1621,2382,1621,1297,1054
2002-04-19,1614,2382,1614,1291,1049
2002-04-20,1598,2327,1598,1278,1039
2002-04-21,1587,2274,1587,1270,1032
2002-04-22,1581,2234,1581,1265,1028
2002-04-23,1582,2210,1582,1266,1028
2002-04-26,1584,2210,1584,1267,1030
2002-04-27,1588,2198,1588,1270,1032
2002-04-28,1592,2200,1592,1274,1035
2002-04-29,1596,2199,1596,1277,1037
2002-04-30,1598,2197,1598,1278,1039
2002-05-05,1600,2197,1600,1280,1040
2002-05-06,1599,2195,1599,1279,1039
2002-05-07,1599,2191,1599,1279,1039
2002-05-12,1596,2186,1596,1277,1037
2002-05-13,1594,2182,1594,1275,1036
2002-05-14,1591,2173,1591,1273,1034
2002-05-15,1591,2166,1591,1273,1034
2002-05-18,1593,2164,1593,1274,1035
2002-05-19,1592,2165,1592,1274,1035
2002-05-20,1587,2162,1587,1270,1032
2002-05-21,1582,2150,1582,1266,1028
2002-05-22,1582,2136,1582,1266,1028
2002-05-25,1579,2127,1579,1263,1026
2002-05-26,1573,2117,1573,1258,1022
2002-05-27,1567,2092,1567,1254,1019
2002-05-28,1566,2067,1566,1253,1018
2002-05-29,1566,2055,1566,1253,1018
2002-06-01,1552,2035,1552,1242,1009
2002-06-02,1543,2018,1543,1234,1003
2002-06-03,1537,1991,1537,1230,999
2002-06-04,1528,1957,1528,1222,993
2002-06-05,1528,1953,1528,1222,993
2002-06-08,1514,1939,1514,1211,984
2002-06-09,1504,1920,1504,1203,978
2002-06-10,1493,1896,1493,1194,970
2002-06-11,1488,1874,1488,1190,967
2002-06-12,1488,1863,1488,1190,967
2002-06-15,1472,1851,1472,1178,957
2002-06-16,1461,1838,1461,1169,950
2002-06-17,1455,1830,1455,1164,946
2002-06-18,1449,1830,1449,1159,942
2002-06-19,1449,1828,1449,1159,942
2002-06-22,1445,1829,1445,1156,939
2002-06-23,1446,1833,1446,1157,940
2002-06-24,1453,1837,1453,1162,944
2002-06-25,1461,1852,1461,1169,950
2002-06-26,1461,1863,1461,1169,950
2002-06-29,1477,1872,1477,1182,960
2002-06-30,1488,1880,1488,1190,967
2002-07-01,1501,1902,1501,1201,976
2002-07-02,1510,1924,1510,1208,982
2002-07-03,1510,1940,1510,1208,982
2002-07-06,1531,1960,1531,1225,995
2002-07-07,1537,1976,1537,1230,999
2002-07-09,1537,1981,1537,1230,999
2002-07-10,1537,1975,1537,1230,999
2002-07-13,1527,1971,1527,1222,993
2002-07-14,1520,1941,1520,1216,988
2002-07-16,1500,1874,1500,1200,975
2002-07-17,1500,1831,1500,1200,975
2002-07-20,1493,1813,1493,1194,970
2002-07-21,1497,1801,1497,1198,973
2002-07-23,1506,1816,1506,1205,979
2002-07-24,1506,1817,1506,1205,979
2002-07-26,1508,1817,1508,1206,980
2002-07-27,1508,1816,1508,1206,980
2002-07-28,1508,1812,1508,1206,980
2002-07-29,1505,1810,1505,1204,978
2002-07-30,1502,1803,1502,1202,976
2002-08-02,1496,1803,1496,1197,972
2002-08-03,1486,1788,1486,1189,966
2002-08-04,1468,1779,1468,1174,954
2002-08-05,1452,1761,1452,1162,944
2002-08-06,1438,1744,1438,1150,935
2002-08-09,1430,1744,1430,1144,930
2002-08-10,1422,1718,1422,1138,924
2002-08-11,1423,1713,1423,1138,925
2002-08-12,1424,1709,1424,1139,926
2002-08-13,1424,1709,1424,1139,926
2002-08-16,1424,1709,1424,1139,926
2002-08-17,1427,1710,1427,1142,928
2002-08-18,1428,1709,1428,1142,928
2002-08-19,1428,1706,1428,1142,928
2002-08-24,1428,1706,1428,1142,928
2002-08-25,1429,1705,1429,1143,929
2002-08-26,1432,1714,1432,1146,931
2002-08-27,1441,1733,1441,1153,937
2002-08-30,1441,1733,1441,1153,937
2002-08-31,1462,1780,1462,1170,950
2002-09-02,1462,1808,1462,1170,950
2002-09-03,1463,1819,1463,1170,951
2002-09-04,1461,1825,1461,1169,950
2002-09-07,1459,1827,1459,1167,948
2002-09-08,1453,1817,1453,1162,944
2002-09-09,1453,1815,1453,1162,944
2002-09-10,1454,1813,1454,1163,945
2002-09-11,1456,1809,1456,1165,946
2002-09-15,1460,1803,1460,1168,949
2002-09-16,1465,1804,1465,1172,952
2002-09-17,1472,1810,1472,1178,957
2002-09-18,1478,1813,1478,1182,961
2002-09-21,1481,1814,1481,1185,963
2002-09-22,1479,1810,1479,1183,961
2002-09-23,1473,1801,1473,1178,957
2002-09-24,1466,1793,1466,1173,953
2002-09-25,1461,1788,1461,1169,950
2002-09-28,1452,1786,1452,1162,944
2002-09-29,1442,1781,1442,1154,937
2002-09-30,1433,1775,1433,1146,931
2002-10-01,1423,1768,1423,1138,925
2002-10-02,1416,1767,1416,1133,920
2002-10-06,1408,1762,1408,1126,915
2002-10-07,1400,1754,1400,1120,910
2002-10-08,1389,1749,1389,1111,903
2002-10-09,1382,1744,1382,1106,898
2002-10-12,1372,1737,1372,1098,892
2002-10-13,1366,1735,1366,1093,888
2002-10-14,1360,1734,1360,1088,884
2002-10-15,1356,1732,1356,1085,881
2002-10-16,1356,1737,1356,1085,881
2002-10-19,1355,1743,1355,1084,881
2002-10-20,1358,1753,1358,1086,883
2002-10-21,1366,1761,1366,1093,888
2002-10-22,1373,1766,1373,1098,892
2002-10-23,1380,1769,1380,1104,897
2002-10-26,1386,1771,1386,1109,901
2002-10-27,1387,1770,1387,1110,902
2002-10-28,1390,1768,1390,1112,904
2002-10-29,1391,1761,1391,1113,904
2002-10-30,1392,1755,1392,1114,905
2002-11-02,1393,1753,1393,1114,905
2002-11-03,1394,1751,1394,1115,906
2002-11-04,1393,1749,1393,1114,905
2002-11-05,1391,1747,1391,1113,904
2002-11-06,1386,1745,1386,1109,901
2002-11-09,1380,1743,1380,1104,897
2002-11-10,1375,1738,1375,1100,894
2002-11-11,1360,1724,1360,1088,884
2002-11-12,1347,1712,1347,1078,876
2002-11-13,1331,1692,1331,1065,865
2002-11-16,1320,1680,1320,1056,858
2002-11-17,1303,1644,1303,1042,847
2002-11-18,1286,1610,1286,1029,836
2002-11-19,1271,1584,1271,1017,826
2002-11-20,1256,1550,1256,1005,816
2002-11-23,1233,1485,1233,986,801
2002-11-24,1213,1431,1213,970,788
2002-11-25,1190,1380,1190,952,774
2002-11-26,1168,1337,1168,934,759
2002-11-27,1148,1302,1148,918,746
2002-11-30,1138,1285,1138,910,740
2002-12-01,1132,1277,1132,906,736
2002-12-02,1117,1257,1117,894,726
2002-12-03,1102,1238,1102,882,716
2002-12-04,1084,1213,1084,867,705
2002-12-07,1067,1197,1067,854,694
2002-12-08,1049,1186,1049,839,682
2002-12-09,1037,1181,1037,830,674
2002-12-10,1023,1178,1023,818,665
2002-12-11,1021,1193,1021,817,664
2002-12-14,1014,1194,1014,811,659
2002-12-15,1007,1193,1007,806,655
2002-12-16,1001,1190,1001,801,651
2002-12-17,992,1185,992,794,645
2002-12-18,982,1176,982,786,638
2002-12-21,975,1165,975,780,634
2002-12-22,971,1152,971,777,631
2002-12-23,963,1115,963,770,626
2002-12-24,967,1102,967,774,629
2002-12-25,978,1100,978,782,636
2002-12-28,979,1087,979,783,636
2002-12-29,976,1075,976,781,634
2002-12-30,973,1058,973,778,632
2002-12-31,968,1042,968,774,629
2003-01-01,961,1025,961,769,625
2003-01-05,955,1007,955,764,621
2003-01-06,946,1007,946,757,615
2003-01-07,939,977,939,751,610
2003-01-08,927,961,927,742,603
2003-01-11,918,942,918,734,597
2003-01-12,910,929,910,728,592
2003-01-13,903,912,903,722,587
2003-01-14,898,903,898,718,584
2003-01-15,899,900,899,719,584
2003-01-18,902,898,902,722,586
2003-01-19,908,909,908,726,590
2003-01-20,918,934,918,734,597
2003-01-21,924,956,924,739,601
2003-01-22,934,990,934,747,607
2003-01-25,950,1037,950,760,618
2003-01-26,974,1106,974,779,633
2003-01-27,987,1138,987,790,642
2003-01-28,994,1157,994,795,646
2003-01-29,995,1165,995,796,647
2003-02-01,995,1169,995,796,647
2003-02-02,991,1169,991,793,644
2003-02-03,983,1162,983,786,639
2003-02-04,969,1136,969,775,630
2003-02-05,952,1102,952,762,619
2003-02-08,939,1076,939,751,610
2003-02-09,926,1048,926,741,602
2003-02-10,917,1031,917,734,596
2003-02-11,910,1015,910,728,592
2003-02-12,900,998,900,720,585
2003-02-15,893,985,893,714,580
2003-02-16,889,979,889,711,578
2003-02-17,888,978,888,710,577
2003-02-18,889,981,889,711,578
2003-02-19,893,996,893,714,580
2003-02-22,897,1009,897,718,583
2003-02-23,902,1021,902,722,586
2003-02-24,905,1033,905,724,588
2003-02-25,907,1040,907,726,590
2003-02-26,908,1045,908,726,590
2003-03-01,907,1043,907,726,590
2003-03-02,903,1037,903,722,587
2003-03-03,897,1028,897,718,583
2003-03-04,891,1019,891,713,579
2003-03-05,884,1006,884,707,575
2003-03-08,879,996,879,703,571
2003-03-09,870,982,870,696,566
2003-03-10,861,970,861,689,560
2003-03-11,853,956,853,682,554
2003-03-12,850,949,850,680,552
2003-03-15,847,944,847,678,551
2003-03-16,845,937,845,676,549
2003-03-17,843,933,843,674,548
2003-03-18,844,932,844,675,549
2003-03-19,846,932,846,677,550
2003-03-22,849,938,849,679,552
2003-03-23,851,947,851,681,553
2003-03-24,854,960,854,683,555
2003-03-25,854,959,854,683,555
2003-03-26,855,978,855,684,556
2003-03-29,857,990,857,686,557
2003-03-30,857,995,857,686,557
2003-03-31,859,996,859,687,558
2003-04-01,857,992,857,686,557
2003-04-02,861,990,861,689,560
2003-04-05,864,988,864,691,562
2003-04-06,866,988,866,693,563
2003-04-07,868,987,868,694,564
2003-04-08,867,984,867,694,564
2003-04-09,868,981,868,694,564
2003-04-12,868,979,868,694,564
2003-04-13,869,977,869,695,565
2003-04-14,869,979,869,695,565
2003-04-15,871,982,871,697,566
2003-04-16,872,983,872,698,567
2003-04-19,874,988,874,699,568
2003-04-20,873,989,873,698,567
2003-04-21,873,992,873,698,567
2003-04-22,872,991,872,698,567
2003-04-23,870,986,870,696,566
2003-04-26,868,982,868,694,564
2003-04-27,866,977,866,693,563
2003-04-28,865,976,865,692,562
2003-04-29,867,978,867,694,564
2003-04-30,869,976,869,695,565
2003-05-06,871,976,871,697,566
2003-05-12,882,991,882,706,573
2003-05-13,889,1003,889,711,578
2003-05-14,896,1013,896,717,582
2003-05-17,906,1022,906,725,589
2003-05-18,917,1028,917,734,596
2003-05-19,929,1035,929,743,604
2003-05-20,941,1040,941,753,612
2003-05-21,950,1041,950,760,618
2003-05-24,956,1044,956,765,621
2003-05-25,964,1052,964,771,627
2003-05-26,969,1065,969,775,630
2003-05-27,969,1076,969,775,630
2003-05-28,964,1080,964,771,627
2003-05-31,958,1081,958,766,623
2003-06-01,950,1081,950,760,618
2003-06-02,941,1079,941,753,612
2003-06-03,931,1074,931,745,605
2003-06-04,924,1069,924,739,601
2003-06-07,920,1065,920,736,598
2003-06-08,915,1059,915,732,595
2003-06-09,910,1055,910,728,592
2003-06-10,908,1059,908,726,590
2003-06-11,908,1065,908,726,590
2003-06-14,909,1076,909,727,591
2003-06-15,909,1088,909,727,591
2003-06-16,911,1098,911,729,592
2003-06-17,915,1112,915,732,595
2003-06-18,922,1121,922,738,599
2003-06-21,927,1128,927,742,603
2003-06-22,933,1135,933,746,606
2003-06-23,940,1139,940,752,611
2003-06-24,947,1146,947,758,616
2003-06-25,955,1152,955,764,621
2003-06-28,963,1163,963,770,626
2003-06-29,970,1176,970,776,630
2003-06-30,978,1195,978,782,636
2003-07-01,992,1225,992,794,645
2003-07-02,1009,1261,1009,807,656
2003-07-05,1018,1281,1018,814,662
2003-07-06,1025,1300,1025,820,666
2003-07-07,1029,1311,1029,823,669
2003-07-08,1031,1321,1031,825,670
2003-07-09,1033,1329,1033,826,671
2003-07-12,1035,1333,1035,828,673
2003-07-13,1038,1338,1038,830,675
2003-07-14,1044,1343,1044,835,679
2003-07-15,1047,1334,1047,838,681
2003-07-16,1051,1327,1051,841,683
2003-07-19,1056,1321,1056,845,686
2003-07-20,1059,1317,1059,847,688
2003-07-21,1064,1316,1064,851,692
2003-07-22,1067,1319,1067,854,694
2003-07-23,1073,1328,1073,858,697
2003-07-26,1074,1335,1074,859,698
2003-07-27,1076,1343,1076,861,699
2003-07-28,1078,1348,1078,862,701
2003-07-29,1081,1360,1081,865,703
2003-07-30,1085,1372,1085,868,705
2003-08-02,1086,1381,1086,869,706
2003-08-03,1084,1386,1084,867,705
2003-08-04,1082,1392,1082,866,703
2003-08-05,1082,1396,1082,866,703
2003-08-10,1080,1399,1080,864,702
2003-08-11,1082,1403,1082,866,703
2003-08-12,1083,1402,1083,866,704
2003-08-13,1085,1397,1085,868,705
2003-08-16,1086,1394,1086,869,706
2003-08-17,1091,1394,1091,873,709
2003-08-18,1096,1391,1096,877,712
2003-08-19,1100,1384,1100,880,715
2003-08-20,1103,1377,1103,882,717
2003-08-23,1104,1373,1104,883,718
2003-08-24,1103,1366,1103,882,717
2003-08-25,1098,1357,1098,878,714
2003-08-26,1090,1340,1090,872,708
2003-08-27,1080,1314,1080,864,702
2003-08-30,1071,1293,1071,857,696
2003-08-31,1064,1278,1064,851,692
2003-09-01,1059,1265,1059,847,688
2003-09-02,1049,1245,1049,839,682
2003-09-03,1042,1225,1042,834,677
2003-09-06,1033,1206,1033,826,671
2003-09-07,1027,1192,1027,822,668
2003-09-08,1020,1175,1020,816,663
2003-09-09,1016,1169,1016,813,660
2003-09-10,1016,1164,1016,813,660
2003-09-14,1018,1159,1018,814,662
2003-09-15,1025,1161,1025,820,666
2003-09-16,1034,1165,1034,827,672
2003-09-17,1038,1169,1038,830,675
2003-09-20,1040,1169,1040,832,676
2003-09-21,1041,1169,1041,833,677
2003-09-22,1038,1164,1038,830,675
2003-09-23,1035,1154,1035,828,673
2003-09-24,1033,1148,1033,826,671
2003-09-27,1031,1146,1031,825,670
2003-09-28,1031,1144,1031,825,670
2003-09-29,1031,1144,1031,825,670
2003-09-30,1032,1150,1032,826,671
2003-10-01,1035,1157,1035,828,673
2003-10-04,1038,1166,1038,830,675
2003-10-05,1040,1179,1040,832,676
2003-10-06,1044,1199,1044,835,679
2003-10-07,1046,1219,1046,837,680
2003-10-08,1042,1231,1042,834,677
2003-10-13,1027,1224,1027,822,668
2003-10-14,1015,1214,1015,812,660
2003-10-15,1005,1208,1005,804,653
2003-10-18,998,1202,998,798,649
2003-10-19,991,1193,991,793,644
2003-10-20,984,1178,984,787,640
2003-10-21,978,1159,978,782,636
2003-10-22,978,1152,978,782,636
2003-10-25,978,1146,978,782,636
2003-10-26,981,1142,981,785,638
2003-10-27,984,1141,984,787,640
2003-10-28,988,1146,988,790,642
2003-10-29,993,1147,993,794,645
2003-11-01,997,1150,997,798,648
2003-11-02,1000,1151,1000,800,650
2003-11-03,1003,1153,1003,802,652
2003-11-04,1006,1154,1006,805,654
2003-11-05,1005,1156,1005,804,653
2003-11-08,1005,1156,1005,804,653
2003-11-09,1004,1155,1004,803,653
2003-11-10,1002,1156,1002,802,651
2003-11-11,1003,1158,1003,802,652
2003-11-12,1004,1158,1004,803,653
2003-11-15,1005,1161,1005,804,653
2003-11-16,1006,1163,1006,805,654
2003-11-17,1007,1163,1007,806,655
2003-11-18,1005,1157,1005,804,653
2003-11-19,1004,1154,1004,803,653
2003-11-22,1002,1150,1002,802,651
2003-11-23,998,1146,998,798,649
2003-11-24,993,1141,993,794,645
2003-11-25,985,1127,985,788,640
2003-11-26,981,1120,981,785,638
2003-11-29,976,1111,976,781,634
2003-11-30,972,1100,972,778,632
2003-12-01,964,1086,964,771,627
2003-12-02,962,1082,962,770,625
2003-12-03,962,1081,962,770,625
2003-12-06,964,1080,964,771,627
2003-12-07,965,1077,965,772,627
2003-12-08,968,1080,968,774,629
2003-12-09,970,1081,970,776,630
2003-12-10,971,1083,971,777,631
2003-12-13,971,1085,971,777,631
2003-12-14,971,1091,971,777,631
2003-12-15,972,1098,972,778,632
2003-12-16,978,1114,978,782,636
2003-12-17,986,1131,986,789,641
2003-12-20,992,1146,992,794,645
2003-12-21,999,1161,999,799,649
2003-12-22,1006,1173,1006,805,654
2003-12-23,1010,1183,1010,808,656
2003-12-24,1013,1185,1013,810,658
2003-12-27,1014,1180,1014,811,659
2003-12-28,1014,1175,1014,811,659
2003-12-29,1014,1170,1014,811,659
2003-12-30,1018,1173,1018,814,662
2003-12-31,1021,1180,1021,817,664
2004-01-04,1025,1183,1025,820,666
2004-01-05,1026,1185,1026,821,667
2004-01-06,1030,1191,1030,824,670
2004-01-11,1044,1210,1044,835,679
2004-01-12,1050,1221,1050,840,682
2004-01-13,1063,1246,1063,850,691
2004-01-14,1085,1283,1085,868,705
2004-01-17,1102,1313,1102,882,716
2004-01-18,1126,1360,1126,901,732
2004-01-19,1146,1397,1146,917,745
2004-01-20,1163,1426,1163,930,756
2004-01-21,1178,1450,1178,942,766
2004-01-24,1186,1462,1186,949,771
2004-01-25,1194,1473,1194,955,776
2004-01-26,1202,1493,1202,962,781
2004-01-27,1215,1517,1215,972,790
2004-01-28,1226,1536,1226,981,797
2004-01-31,1238,1560,1238,990,805
2004-02-01,1255,1591,1255,1004,816
2004-02-02,1285,1650,1285,1028,835
2004-02-03,1320,1715,1320,1056,858
2004-02-04,1346,1758,1346,1077,875
2004-02-07,1367,1793,1367,1094,889
2004-02-08,1371,1801,1371,1097,891
2004-02-09,1365,1799,1365,1092,887
